Title,Artist,Link bài hát,Link .m4a,Link .mp3
Idol,BTS,https://chiasenhac.vn/mp3/bts/idol-tsvb70dvqqtnm2.html,https://data34.chiasenhac.com/downloads/1948/3/1947097-e091b486/32/Idol%20-%20BTS.m4a,https://data34.chiasenhac.com/downloads/1948/3/1947097-e091b486/128/Idol%20-%20BTS.mp3
A Song For You,Nam Woo Hyun,https://chiasenhac.vn/mp3/nam-woo-hyun/a-song-for-you-tsv7mcssqt8v44.html,https://data25.chiasenhac.com/download2/2203/3/2202215-d9389fdd/32/A%20Song%20For%20You%20-%20Nam%20Woo%20Hyun.m4a,https://data25.chiasenhac.com/download2/2203/3/2202215-d9389fdd/128/A%20Song%20For%20You%20-%20Nam%20Woo%20Hyun.mp3
I Fall In Love,Vromance; Obroject,https://chiasenhac.vn/mp3/vromance-obroject/i-fall-in-love-tsvw663bq9kkwq.html,https://data20.chiasenhac.com/downloads/2081/3/2080880-98f77a51/32/I%20Fall%20In%20Love%20-%20Vromance_%20Obroject.m4a,https://data20.chiasenhac.com/downloads/2081/3/2080880-98f77a51/128/I%20Fall%20In%20Love%20-%20Vromance_%20Obroject.mp3
Alone,Nam Woo Hyun,https://chiasenhac.vn/mp3/nam-woo-hyun/alone-tsv7mcs5qt8v4h.html,https://data25.chiasenhac.com/download2/2203/3/2202214-17255527/32/Alone%20-%20Nam%20Woo%20Hyun.m4a,https://data25.chiasenhac.com/download2/2203/3/2202214-17255527/128/Alone%20-%20Nam%20Woo%20Hyun.mp3
My Diary,Nam Woo Hyun,https://chiasenhac.vn/mp3/nam-woo-hyun/my-diary-tsv7mcs6qt8v4k.html,https://data25.chiasenhac.com/download2/2203/3/2202213-7383c45a/32/My%20Diary%20-%20Nam%20Woo%20Hyun.m4a,https://data25.chiasenhac.com/download2/2203/3/2202213-7383c45a/128/My%20Diary%20-%20Nam%20Woo%20Hyun.mp3
Strawberry Moon,IU,https://chiasenhac.vn/mp3/iu/strawberry-moon-tsv7mcqrqt8vea.html,https://data25.chiasenhac.com/download2/2203/3/2202049-28c48e64/32/Strawberry%20Moon%20-%20IU.m4a,https://data25.chiasenhac.com/download2/2203/3/2202049-28c48e64/128/Strawberry%20Moon%20-%20IU.mp3
Lonely Night,Nam Woo Hyun,https://chiasenhac.vn/mp3/nam-woo-hyun/lonely-night-tsv7mcs7qt8v4t.html,https://data25.chiasenhac.com/download2/2203/3/2202212-6908df8d/32/Lonely%20Night%20-%20Nam%20Woo%20Hyun.m4a,https://data25.chiasenhac.com/download2/2203/3/2202212-6908df8d/128/Lonely%20Night%20-%20Nam%20Woo%20Hyun.mp3
Calm & Passion,Nam Woo Hyun,https://chiasenhac.vn/mp3/nam-woo-hyun/calm-passion-tsv7mcsmqt8v48.html,https://data25.chiasenhac.com/download2/2203/3/2202211-06063038/32/Calm%20Passion%20-%20Nam%20Woo%20Hyun.m4a,https://data25.chiasenhac.com/download2/2203/3/2202211-06063038/128/Calm%20Passion%20-%20Nam%20Woo%20Hyun.mp3
Bang Bang Bang,Big Bang,https://chiasenhac.vn/mp3/big-bang/bang-bang-bang-ts3v3tt6q2wffk.html,https://data04.chiasenhac.com/downloads/1501/3/1500853-59e8c7f2/32/Bang%20Bang%20Bang%20-%20Big%20Bang.m4a,https://data04.chiasenhac.com/downloads/1501/3/1500853-59e8c7f2/128/Bang%20Bang%20Bang%20-%20Big%20Bang.mp3
My Name,Hwang Sang Jun; Swervy ; Jeminn,https://chiasenhac.vn/mp3/hwang-sang-jun-swervy-jeminn/my-name-tsv7mdb6qt8mqk.html,https://data25.chiasenhac.com/download2/2202/3/2201845-0c066acc/32/My%20Name%20-%20Hwang%20Sang%20Jun_%20Swervy%20Jeminn.m4a,https://data25.chiasenhac.com/download2/2202/3/2201845-0c066acc/128/My%20Name%20-%20Hwang%20Sang%20Jun_%20Swervy%20Jeminn.mp3
