Title,Artist,Link bài hát,Link .m4a,Link .mp3
Mr. Vain,Culture Beat,https://chiasenhac.vn/mp3/culture-beat/mr-vain-ts3ms3cwq84wv9.html,https://data54.chiasenhac.com/downloads/1107/3/1106658-af794985/32/Mr_%20Vain%20-%20Culture%20Beat.m4a,https://data54.chiasenhac.com/downloads/1107/3/1106658-af794985/128/Mr_%20Vain%20-%20Culture%20Beat.mp3
Marry You,Bruno Mars,https://chiasenhac.vn/mp3/bruno-mars/marry-you-ts3wd6c6q9mkvk.html,https://data51.chiasenhac.com/downloads/1004/3/1003493-5c35832d/32/Marry%20You%20-%20Bruno%20Mars.m4a,https://data51.chiasenhac.com/downloads/1004/3/1003493-5c35832d/128/Marry%20You%20-%20Bruno%20Mars.mp3
Girls Like You,Maroon 5; Cardi B,https://chiasenhac.vn/mp3/maroon-5-cardi-b/girls-like-you-tsvbt56qqqfhke.html,https://data38.chiasenhac.com/downloads/1914/3/1913149-b66e2d75/32/Girls%20Like%20You%20-%20Maroon%205_%20Cardi%20B.m4a,https://data38.chiasenhac.com/downloads/1914/3/1913149-b66e2d75/128/Girls%20Like%20You%20-%20Maroon%205_%20Cardi%20B.mp3
I Can't Help Falling In Love,Michael Gold,https://chiasenhac.vn/mp3/michael-gold/i-cant-help-falling-in-love-tsvcmmv0qv882n.html,https://data37.chiasenhac.com/downloads/1876/3/1875595-d88f358b/32/I%20Can_t%20Help%20Falling%20In%20Love%20-%20Michael%20G.m4a,https://data37.chiasenhac.com/downloads/1876/3/1875595-d88f358b/128/I%20Can_t%20Help%20Falling%20In%20Love%20-%20Michael%20G.mp3
Lily,Alan Walker; K-391; Emelie Hollow,https://chiasenhac.vn/mp3/alan-walker-k-391-emelie-hollow/lily-tsvrqdmsqaem84.html,https://data33.chiasenhac.com/downloads/1981/3/1980711-3d63ddab/32/Lily%20-%20Alan%20Walker_%20K-391_%20Emelie%20Hollow.m4a,https://data33.chiasenhac.com/downloads/1981/3/1980711-3d63ddab/128/Lily%20-%20Alan%20Walker_%20K-391_%20Emelie%20Hollow.mp3
Invisible,Linkin Park,https://chiasenhac.vn/mp3/linkin-park/invisible-tsvdddw3qmmm9w.html,https://data3.chiasenhac.com/downloads/1789/3/1788184-3c14eabc/32/Invisible%20-%20Linkin%20Park.m4a,https://data3.chiasenhac.com/downloads/1789/3/1788184-3c14eabc/128/Invisible%20-%20Linkin%20Park.mp3
New Divide,Linkin Park,https://chiasenhac.vn/mp3/linkin-park/new-divide-ts3wdm7rq9m8ta.html,https://data51.chiasenhac.com/downloads/1004/3/1003057-2c09bee5/32/New%20Divide%20-%20Linkin%20Park.m4a,https://data51.chiasenhac.com/downloads/1004/3/1003057-2c09bee5/128/New%20Divide%20-%20Linkin%20Park.mp3
Partystarter (Where Is The Party) (Extended Mix),Maurice West,https://chiasenhac.vn/mp3/maurice-west/partystarter-where-is-the-party-extended-mix-tsv7wtttqt9fff.html,https://data25.chiasenhac.com/download2/2198/3/2197164-4d02413a/32/Partystarter%20Where%20Is%20The%20Party_%20Extende.m4a,https://data25.chiasenhac.com/download2/2198/3/2197164-4d02413a/128/Partystarter%20Where%20Is%20The%20Party_%20Extende.mp3
In Silence,Janet Suhh,https://chiasenhac.vn/mp3/janet-suhh/in-silence-tsvw0t7cq9nftv.html,https://data3.chiasenhac.com/downloads/2104/3/2103087-6b5638a6/32/In%20Silence%20-%20Janet%20Suhh.m4a,https://data3.chiasenhac.com/downloads/2104/3/2103087-6b5638a6/128/In%20Silence%20-%20Janet%20Suhh.mp3
What I've Done,Linkin Park,https://chiasenhac.vn/mp3/linkin-park/what-ive-done-ts3wdcq3q9mvew.html,https://data51.chiasenhac.com/downloads/1002/3/1001928-5bfaa644/32/What%20I_ve%20Done%20-%20Linkin%20Park.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001928-5bfaa644/128/What%20I_ve%20Done%20-%20Linkin%20Park.mp3
